elapsed,Round,ntree,nbins,nbins_cats,max_depth,min_rows,max_after_balance_size,sample_rate,col_sample_rate_per_tree,Value
1011.60,1,30.0000,16.0000,7.0000,9.0000,%#4.0-1e,4.3337,0.5464,0.5456,0.9458
852.43,2,95.0000,66.0000,3.0000,13.0000,%#4.0-1e,4.2766,0.6835,0.5466,0.8329
461.31,3,45.0000,64.0000,7.0000,14.0000,%#4.0-1e,0.9165,0.9230,0.6117,0.9199
783.11,4,16.0000,76.0000,4.0000,9.0000,%#4.0-1e,1.7988,0.6646,0.7684,0.7690
817.79,5,59.0000,64.0000,3.0000,9.0000,4403.0000,4.8201,0.7309,0.8934,0.7329
732.53,6,47.0000,78.0000,6.0000,11.0000,%#4.0-1e,4.8999,0.5462,0.8894,0.8887
382.67,7,64.0000,74.0000,6.0000,17.0000,%#4.0-1e,3.4357,0.5075,0.7624,0.5000
393.45,8,100.0000,16.0000,3.0000,5.0000,%#4.0-1e,2.8422,0.9118,0.8960,0.7263
865.07,9,37.0000,23.0000,5.0000,17.0000,%#4.0-1e,1.9209,0.8729,0.9531,0.7236
416.59,10,88.0000,35.0000,7.0000,13.0000,%#4.0-1e,3.7184,0.6941,0.9894,0.5000
368.52,11,65.0000,44.0000,7.0000,19.0000,%#4.0-1e,3.7861,0.6643,0.9715,0.5000
1139.26,12,65.0000,66.0000,7.0000,15.0000,%#4.0-1e,4.6905,0.6194,0.7055,0.9161
681.52,13,46.0000,45.0000,3.0000,8.0000,%#4.0-1e,4.0364,0.5392,0.5749,0.7445
348.42,14,57.0000,43.0000,3.0000,5.0000,%#4.0-1e,3.6869,0.9537,0.7876,0.5000
675.31,15,35.0000,10.0000,6.0000,15.0000,%#4.0-1e,4.7024,0.6506,0.9719,0.7779
541.09,16,99.0000,74.0000,4.0000,1.0000,%#4.0-1e,2.7153,0.7201,0.8406,0.6869
820.71,17,21.0000,35.0000,4.0000,5.0000,%#4.0-1e,4.7621,0.8319,0.6509,0.7210
374.60,18,73.0000,63.0000,4.0000,4.0000,%#4.0-1e,0.8032,0.7254,0.9341,0.7163
336.71,19,43.0000,40.0000,8.0000,2.0000,%#4.0-1e,1.6716,0.5187,0.8088,0.5000
583.98,20,75.0000,47.0000,7.0000,10.0000,%#4.0-1e,2.5714,0.8951,0.9010,0.9046
431.58,21,24.0000,78.0000,5.0000,3.0000,%#4.0-1e,3.8972,0.7941,0.5618,0.7023
273.83,22,51.0000,51.0000,5.0000,5.0000,%#4.0-1e,1.0608,0.6488,0.6520,0.5000
594.60,23,17.0000,23.0000,6.0000,14.0000,%#4.0-1e,4.3424,0.7695,0.7298,0.8729
836.09,24,50.0000,16.0000,6.0000,15.0000,%#4.0-1e,3.3487,0.6757,0.7978,0.8470
341.30,25,41.0000,24.0000,7.0000,3.0000,%#4.0-1e,0.8658,0.9624,0.9873,0.8908
494.93,26,35.0000,31.0000,6.0000,9.0000,%#4.0-1e,1.4054,0.9717,0.9297,0.8770
355.44,27,96.0000,25.0000,7.0000,15.0000,%#4.0-1e,2.8599,0.9362,0.5064,0.5000
324.92,28,82.0000,22.0000,5.0000,12.0000,%#4.0-1e,1.6207,0.5888,0.7611,0.5000
462.01,29,50.0000,30.0000,7.0000,7.0000,%#4.0-1e,2.0811,0.6923,0.6380,0.9015
